season,date,regular,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,days_rest_away,days_rest_home,last_game_ot_away,last_game_ot_home,win_loss_away,win_loss_home,last10_win_loss_away,last10_win_loss_home,west_conference_away,west_conference_home,away_record,home_record,implied_odds_away,implied_odds_home,profit_moneyline_away,profit_moneyline_home,points_for_away,points_for_home,points_against_away,points_against_home,points_for_last10_away,points_for_last10_home,points_against_last10_away,points_against_last10_home
2008,2007-10-30,True,por,sa,97,106,26,23,28,20,0,29,30,22,25,0,home,13.0,189.5,900.0,-1400.0,0.0,1,0.0,1,5,5,False,False,0-0,0-0,0-0,0-0,True,True,0-0,0-0,0.1,0.9333,0.0,0.0,,,,,,,,
2008,2007-10-30,True,utah,gs,117,96,28,34,24,31,0,30,21,21,24,0,home,1.0,212.0,100.0,-120.0,0.0,1,0.0,1,5,5,False,False,0-0,0-0,0-0,0-0,True,True,0-0,0-0,0.5,0.5455,0.0,0.0,,,,,,,,
2008,2007-10-30,True,hou,lal,95,93,16,27,27,25,0,25,18,19,31,0,away,5.0,199.0,-230.0,190.0,0.0,0,0.0,0,5,5,False,False,0-0,0-0,0-0,0-0,True,True,0-0,0-0,0.697,0.3448,0.0,0.0,,,,,,,,
2008,2007-10-31,True,phi,tor,97,106,22,28,17,30,0,24,34,23,25,0,home,6.5,191.0,255.0,-305.0,1.0,1,1.0,1,5,5,False,False,0-0,0-0,0-0,0-0,False,False,0-0,0-0,0.2817,0.7531,0.0,0.0,,,,,,,,
2008,2007-10-31,True,wsh,ind,110,119,23,22,25,33,7,28,20,22,33,16,away,1.5,203.5,-125.0,105.0,0.0,1,0.0,1,5,5,False,False,0-0,0-0,0-0,0-0,False,False,0-0,0-0,0.5556,0.4878,0.0,0.0,,,,,,,,
2008,2007-10-31,True,mil,orl,83,102,24,22,16,21,0,24,24,35,19,0,home,6.5,197.0,245.0,-295.0,1.0,0,1.0,0,5,5,False,False,0-0,0-0,0-0,0-0,False,False,0-0,0-0,0.2899,0.7468,0.0,0.0,,,,,,,,
2008,2007-10-31,True,chi,bkn,103,112,21,20,32,23,7,25,31,18,22,16,home,1.5,186.0,105.0,-125.0,1.0,1,1.0,1,5,5,False,False,0-0,0-0,0-0,0-0,False,False,0-0,0-0,0.4878,0.5556,0.0,0.0,,,,,,,,
2008,2007-10-31,True,dal,cle,92,74,29,25,24,14,0,15,19,25,15,0,away,2.5,184.0,-140.0,120.0,1.0,0,1.0,0,5,5,False,False,0-0,0-0,0-0,0-0,True,False,0-0,0-0,0.5833,0.4545,0.0,0.0,,,,,,,,
2008,2007-10-31,True,sa,mem,104,101,23,29,27,25,0,26,26,30,19,0,away,6.5,201.0,-250.0,210.0,0.0,1,0.0,1,0,5,False,False,1-0,0-0,1-0,0-0,True,True,0-0,0-0,0.7143,0.3226,0.71,0.0,106.0,,97.0,,106.0,,97.0,
2008,2007-10-31,True,sac,no,90,104,24,18,19,29,0,29,28,30,17,0,home,9.5,190.5,425.0,-525.0,1.0,1,1.0,1,5,5,False,False,0-0,0-0,0-0,0-0,True,True,0-0,0-0,0.1905,0.84,0.0,0.0,,,,,,,,
2008,2007-10-31,True,okc,den,103,120,31,27,23,22,0,35,24,27,34,0,home,11.5,217.5,625.0,-825.0,1.0,1,1.0,1,5,5,False,False,0-0,0-0,0-0,0-0,True,True,0-0,0-0,0.1379,0.8919,0.0,0.0,,,,,,,,
2008,2007-11-01,True,det,mia,91,80,26,22,18,25,0,22,20,20,18,0,away,4.0,178.5,-190.0,160.0,1.0,0,1.0,0,5,5,False,False,0-0,0-0,0-0,0-0,False,False,0-0,0-0,0.6552,0.3846,0.0,0.0,,,,,,,,
2008,2007-11-01,True,hou,utah,106,95,24,33,21,28,0,29,20,17,29,0,home,3.0,193.0,140.0,-160.0,0.0,1,0.0,1,1,1,False,False,1-0,1-0,1-0,1-0,True,True,1-0,0-0,0.4167,0.6154,4.35,10.0,95.0,117.0,93.0,96.0,95.0,117.0,93.0,96.0
2008,2007-11-01,True,phx,okc,106,99,27,28,24,27,0,26,32,24,17,0,away,12.0,224.5,-725.0,575.0,0.0,0,0.0,0,5,0,False,False,0-0,0-1,0-0,0-1,True,True,0-0,0-0,0.8788,0.1481,0.0,-10.0,,103.0,,120.0,,103.0,,120.0
2008,2007-11-02,True,mil,cha,99,102,18,31,20,30,0,24,22,25,31,0,home,4.0,196.5,150.0,-170.0,0.0,1,0.0,1,1,5,False,False,0-1,0-0,0-1,0-0,False,False,0-1,0-0,0.4,0.6296,-10.0,0.0,83.0,,102.0,,83.0,,102.0,
2008,2007-11-02,True,det,orl,116,92,28,36,27,25,0,30,25,23,14,0,home,4.0,183.5,150.0,-170.0,0.0,1,0.0,1,0,1,False,False,1-0,1-0,1-0,1-0,False,False,1-0,1-0,0.4,0.6296,5.26,3.39,91.0,102.0,80.0,83.0,91.0,102.0,80.0,83.0
2008,2007-11-02,True,mia,ind,85,87,22,25,18,20,0,24,24,20,19,0,home,6.5,192.0,235.0,-275.0,0.0,0,0.0,0,0,1,False,True,0-1,1-0,0-1,1-0,False,False,0-0,1-0,0.2985,0.7333,-10.0,10.5,80.0,119.0,91.0,110.0,80.0,119.0,91.0,110.0
2008,2007-11-02,True,tor,bkn,106,69,21,35,24,26,0,21,20,12,16,0,home,4.0,193.5,155.0,-175.0,0.0,0,0.0,0,1,1,False,True,1-0,1-0,1-0,1-0,False,False,0-0,1-0,0.3922,0.6364,3.28,8.0,106.0,112.0,97.0,103.0,106.0,112.0,97.0,103.0
2008,2007-11-02,True,dal,atl,94,101,19,20,30,25,0,29,17,22,33,0,away,5.5,191.0,-250.0,210.0,0.0,1,0.0,1,1,5,False,False,1-0,0-0,1-0,0-0,True,False,1-0,0-0,0.7143,0.3226,7.14,0.0,92.0,,74.0,,92.0,,74.0,
2008,2007-11-02,True,ny,cle,106,110,34,20,26,26,0,32,23,20,35,0,home,6.0,186.0,210.0,-250.0,0.0,1,0.0,1,5,1,False,False,0-0,0-1,0-0,0-1,False,False,0-0,0-1,0.3226,0.7143,0.0,-10.0,,74.0,,92.0,,74.0,,92.0
2008,2007-11-02,True,wsh,bos,83,103,18,18,21,26,0,21,37,21,24,0,home,7.5,205.5,285.0,-335.0,1.0,0,1.0,0,1,5,True,False,0-1,0-0,0-1,0-0,False,False,0-1,0-0,0.2597,0.7701,-10.0,0.0,110.0,,119.0,,110.0,,119.0,
2008,2007-11-02,True,por,no,93,113,21,28,15,29,0,31,26,30,26,0,home,7.5,203.0,275.0,-325.0,1.0,1,1.0,1,2,1,False,False,0-1,1-0,0-1,1-0,True,True,0-1,1-0,0.2667,0.7647,-10.0,1.9,97.0,104.0,106.0,90.0,97.0,104.0,106.0,90.0
2008,2007-11-02,True,den,min,99,91,21,28,25,25,0,27,25,25,14,0,away,7.5,208.5,-375.0,315.0,1.0,0,1.0,0,1,5,False,False,1-0,0-0,1-0,0-0,True,True,0-0,0-0,0.7895,0.241,1.21,0.0,120.0,,103.0,,120.0,,103.0,
2008,2007-11-02,True,phi,chi,96,85,28,14,29,25,0,20,21,20,24,0,home,9.5,190.0,400.0,-500.0,0.0,0,0.0,0,1,1,False,True,0-1,0-1,0-1,0-1,False,False,0-1,0-0,0.2,0.8333,-10.0,-10.0,97.0,103.0,106.0,112.0,97.0,103.0,106.0,112.0
2008,2007-11-02,True,sac,sa,80,96,10,13,31,26,0,17,33,21,25,0,home,14.5,191.0,1200.0,-2000.0,1.0,0,1.0,0,1,1,False,False,0-1,2-0,0-1,2-0,True,True,0-1,1-0,0.0769,0.9524,-10.0,4.71,90.0,105.0,104.0,99.0,90.0,105.0,104.0,99.0
2008,2007-11-02,True,lal,phx,119,98,33,30,32,24,0,20,30,17,31,0,home,8.0,215.5,365.0,-435.0,0.0,1,0.0,1,2,0,False,False,0-1,1-0,0-1,1-0,True,True,0-0,0-0,0.2151,0.8131,-10.0,1.38,93.0,106.0,95.0,99.0,93.0,106.0,95.0,99.0
2008,2007-11-02,True,gs,lac,114,120,27,34,29,24,0,35,26,31,28,0,home,1.5,211.0,105.0,-125.0,1.0,1,1.0,1,2,5,False,False,0-1,0-0,0-1,0-0,True,True,0-0,0-0,0.4878,0.5556,-10.0,0.0,96.0,,117.0,,96.0,,117.0,
2008,2007-11-03,True,bkn,phi,93,88,17,21,29,26,0,19,15,23,31,0,away,3.0,186.5,-150.0,130.0,1.0,0,1.0,0,0,0,False,False,1-1,1-1,1-1,1-1,False,False,0-0,0-0,0.6,0.4348,-2.0,30.0,90.5,96.5,104.5,95.5,90.5,96.5,104.5,95.5
2008,2007-11-03,True,orl,wsh,94,82,19,31,14,30,0,18,24,25,15,0,home,1.0,197.5,110.0,-130.0,0.0,0,0.0,0,0,0,False,False,1-1,0-2,1-1,0-2,False,False,0-0,0-0,0.4762,0.5652,-6.61,-20.0,97.0,96.5,99.5,111.0,97.0,96.5,99.5,111.0
2008,2007-11-03,True,ind,mem,121,111,40,32,22,27,0,31,30,26,24,0,home,5.5,211.5,180.0,-220.0,0.0,1,0.0,1,0,2,False,False,2-0,0-1,2-0,0-1,False,True,0-0,0-1,0.3571,0.6875,14.14,-10.0,103.0,101.0,97.5,104.0,103.0,101.0,97.5,104.0
2008,2007-11-03,True,chi,mil,72,78,19,16,13,24,0,20,12,24,22,0,away,4.0,193.0,-175.0,155.0,0.0,0,0.0,0,0,0,False,False,0-2,0-2,0-2,0-2,False,False,0-1,0-0,0.6364,0.3922,-20.0,-20.0,94.0,91.0,104.0,102.0,94.0,91.0,104.0,102.0
2008,2007-11-03,True,por,hou,80,89,12,19,15,34,0,25,21,16,27,0,home,11.5,203.0,700.0,-1000.0,0.0,0,0.0,0,0,1,False,False,0-2,2-0,0-2,2-0,True,True,0-2,0-0,0.125,0.9091,-20.0,18.35,95.0,100.5,109.5,94.0,95.0,100.5,109.5,94.0
2008,2007-11-03,True,sac,dal,102,123,25,31,27,19,0,37,36,28,22,0,home,15.5,189.0,1500.0,-3000.0,1.0,1,1.0,1,0,0,False,False,0-2,1-1,0-2,1-1,True,True,0-2,0-0,0.0625,0.9677,-20.0,-2.86,85.0,93.0,100.0,87.5,85.0,93.0,100.0,87.5
2008,2007-11-03,True,gs,utah,110,133,28,18,35,29,0,29,36,29,39,0,home,9.5,215.5,425.0,-550.0,1.0,1,1.0,1,0,1,False,False,0-2,1-1,0-2,1-1,True,True,0-1,0-1,0.1905,0.8462,-20.0,0.0,105.0,106.0,118.5,101.0,105.0,106.0,118.5,101.0
2008,2007-11-04,True,bos,tor,98,95,23,15,28,12,20,14,17,24,23,17,home,1.5,194.0,105.0,-125.0,0.0,0,0.0,0,1,1,False,False,1-0,2-0,1-0,2-0,False,False,0-0,1-0,0.4878,0.5556,2.99,18.78,103.0,106.0,83.0,83.0,103.0,106.0,83.0,83.0
2008,2007-11-04,True,okc,lac,101,115,21,31,24,25,0,25,27,26,37,0,home,6.5,208.0,250.0,-300.0,1.0,1,1.0,1,2,1,False,False,0-2,1-0,0-2,1-0,True,True,0-1,1-0,0.2857,0.75,-20.0,8.0,101.0,120.0,113.0,114.0,101.0,120.0,113.0,114.0
2008,2007-11-04,True,min,ny,93,97,28,22,23,20,0,21,33,21,22,0,home,9.0,193.0,355.0,-425.0,0.0,0,0.0,0,1,1,False,False,0-1,0-1,0-1,0-1,True,False,0-0,0-0,0.2198,0.8095,-10.0,-10.0,91.0,106.0,99.0,110.0,91.0,106.0,99.0,110.0
2008,2007-11-04,True,cha,mia,90,88,27,28,20,15,0,27,21,15,25,0,home,3.5,186.5,140.0,-160.0,0.0,0,0.0,0,1,1,False,False,1-0,0-2,1-0,0-2,False,False,0-0,0-1,0.4167,0.6154,5.88,-20.0,102.0,82.5,99.0,89.0,102.0,82.5,99.0,89.0
2008,2007-11-04,True,atl,det,91,92,19,29,21,22,0,24,21,15,32,0,home,8.0,191.0,290.0,-350.0,0.0,0,0.0,0,1,1,False,False,1-0,2-0,1-0,2-0,False,False,0-0,0-0,0.2564,0.7778,21.0,20.26,101.0,103.5,94.0,86.0,101.0,103.5,94.0,86.0
2008,2007-11-04,True,no,den,93,88,14,34,25,20,0,21,28,20,19,0,home,5.0,214.5,185.0,-215.0,0.0,0,0.0,0,1,1,False,False,2-0,2-0,2-0,2-0,True,True,0-0,1-0,0.3509,0.6825,4.98,3.88,108.5,109.5,91.5,97.0,108.5,109.5,91.5,97.0
2008,2007-11-04,True,cle,phx,92,103,22,23,19,28,0,21,17,31,34,0,home,7.5,205.0,290.0,-350.0,1.0,0,1.0,0,1,1,False,False,1-1,1-1,1-1,1-1,False,True,0-0,0-1,0.2564,0.7778,-6.0,-8.62,92.0,102.0,99.0,109.0,92.0,102.0,99.0,109.0
2008,2007-11-04,True,utah,lal,109,119,21,30,31,27,0,25,21,35,38,0,home,1.0,205.5,-105.0,-115.0,1.0,1,1.0,1,0,1,False,False,2-1,1-1,2-1,1-1,True,True,1-0,0-1,0.5122,0.5349,1.82,26.5,115.0,106.0,104.0,96.5,115.0,106.0,104.0,96.5
2008,2007-11-05,True,hou,dal,98,107,29,22,24,23,0,24,26,27,30,0,home,4.5,189.5,170.0,-200.0,1.0,1,1.0,1,1,1,False,False,3-0,2-1,3-0,2-1,True,True,2-0,1-0,0.3704,0.6667,19.35,-2.52,96.67,103.0,89.33,92.33,96.67,103.0,89.33,92.33
2008,2007-11-06,True,phx,cha,115,83,29,30,29,27,0,21,16,24,22,0,away,4.0,207.0,-195.0,165.0,1.0,0,1.0,0,1,1,False,False,2-1,2-0,2-1,2-0,True,False,1-0,1-0,0.661,0.3774,-5.76,19.88,102.33,96.0,103.33,93.5,102.33,96.0,103.33,93.5
2008,2007-11-06,True,atl,bkn,82,87,19,22,16,25,0,22,23,24,18,0,home,4.0,188.5,160.0,-190.0,1.0,0,1.0,0,1,2,False,False,1-1,2-1,1-1,2-1,False,False,0-1,1-1,0.3846,0.6552,11.0,4.67,96.0,91.33,93.0,99.0,96.0,91.33,93.0,99.0
2008,2007-11-06,True,den,ny,112,119,37,29,26,20,0,32,28,22,37,0,away,3.0,211.0,-160.0,140.0,0.0,1,0.0,1,1,1,False,False,2-1,1-1,2-1,1-1,True,False,1-0,1-0,0.6154,0.4167,-6.12,-7.65,102.33,101.5,95.67,101.5,102.33,101.5,95.67,101.5
