"min_edge","rule","total_profit","n_bets","technique","output_folder"
0,"P(side) > implied + 0.00",-3213,10640,"BIC stepwise","bic_stepwise_selectionsmodel"
0.01,"P(side) > implied + 0.01",-3397.54,7465,"BIC stepwise","bic_stepwise_selectionsmodel"
0.02,"P(side) > implied + 0.02",-2490.8,4163,"BIC stepwise","bic_stepwise_selectionsmodel"
0.03,"P(side) > implied + 0.03",-1466.76,2545,"BIC stepwise","bic_stepwise_selectionsmodel"
0.04,"P(side) > implied + 0.04",-432.12,1615,"BIC stepwise","bic_stepwise_selectionsmodel"
0.05,"P(side) > implied + 0.05",-293.16,831,"BIC stepwise","bic_stepwise_selectionsmodel"
0.06,"P(side) > implied + 0.06",-79.98,422,"BIC stepwise","bic_stepwise_selectionsmodel"
0.07,"P(side) > implied + 0.07",49.02,177,"BIC stepwise","bic_stepwise_selectionsmodel"
0.08,"P(side) > implied + 0.08",158.18,76,"BIC stepwise","bic_stepwise_selectionsmodel"
0.09,"P(side) > implied + 0.09",46.67,13,"BIC stepwise","bic_stepwise_selectionsmodel"
0.1,"P(side) > implied + 0.10",9.9,1,"BIC stepwise","bic_stepwise_selectionsmodel"
0.11,"P(side) > implied + 0.11",0,0,"BIC stepwise","bic_stepwise_selectionsmodel"
0.12,"P(side) > implied + 0.12",0,0,"BIC stepwise","bic_stepwise_selectionsmodel"
0.13,"P(side) > implied + 0.13",0,0,"BIC stepwise","bic_stepwise_selectionsmodel"
0.14,"P(side) > implied + 0.14",0,0,"BIC stepwise","bic_stepwise_selectionsmodel"
0.15,"P(side) > implied + 0.15",0,0,"BIC stepwise","bic_stepwise_selectionsmodel"
0,"P(side) > implied + 0.00",-3774.83,10198,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.01,"P(side) > implied + 0.01",-2569.15,7874,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.02,"P(side) > implied + 0.02",-2662.3,5969,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.03,"P(side) > implied + 0.03",-1404.5,4386,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.04,"P(side) > implied + 0.04",-720.84,3256,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.05,"P(side) > implied + 0.05",-1002.21,2397,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.06,"P(side) > implied + 0.06",-743.75,1798,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.07,"P(side) > implied + 0.07",-543.79,1355,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.08,"P(side) > implied + 0.08",-598.62,1059,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.09,"P(side) > implied + 0.09",-399.16,820,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.1,"P(side) > implied + 0.10",-545.59,656,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.11,"P(side) > implied + 0.11",-449.64,524,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.12,"P(side) > implied + 0.12",-320.08,417,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.13,"P(side) > implied + 0.13",-386.52,339,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.14,"P(side) > implied + 0.14",-285.4,275,"Univariate glm p-value","filter_univariate_selectionsmodel"
0.15,"P(side) > implied + 0.15",-173.13,225,"Univariate glm p-value","filter_univariate_selectionsmodel"
0,"P(side) > implied + 0.00",-4998.75,9987,"L1 (glmnet + lenient lambda)","l1_selectionsmodel"
0.01,"P(side) > implied + 0.01",-3407.18,7640,"L1 (glmnet + lenient lambda)","l1_selectionsmodel"
0.02,"P(side) > implied + 0.02",-2638.51,5659,"L1 (glmnet + lenient lambda)","l1_selectionsmodel"
0.03,"P(side) > implied + 0.03",-1014.96,4116,"L1 (glmnet + lenient lambda)","l1_selectionsmodel"
