"feature","p_value","rank","method"
"moneyline_away",0,1,"univariate_glm_pvalue"
"moneyline_home",0,2,"univariate_glm_pvalue"
"spread",3.39102787272072e-144,3,"univariate_glm_pvalue"
"points_against_last10_home",1.4567952832914e-42,4,"univariate_glm_pvalue"
"points_against_home",5.46109835583008e-42,5,"univariate_glm_pvalue"
"points_for_away",9.56093288819277e-36,6,"univariate_glm_pvalue"
"points_for_home",2.87272735843863e-35,7,"univariate_glm_pvalue"
"points_for_last10_home",5.55528676088881e-33,8,"univariate_glm_pvalue"
"points_for_last10_away",4.06329374293931e-29,9,"univariate_glm_pvalue"
"points_against_last10_away",2.68194823695486e-27,10,"univariate_glm_pvalue"
"points_against_away",5.8894151267932e-23,11,"univariate_glm_pvalue"
"west_conference_home",2.06290252720137e-11,12,"univariate_glm_pvalue"
"days_rest_away",4.14066138733853e-05,13,"univariate_glm_pvalue"
"west_conference_away",0.00201809032735042,14,"univariate_glm_pvalue"
"season",0.00762292113215823,15,"univariate_glm_pvalue"
"date_num",0.00821556687772496,16,"univariate_glm_pvalue"
"last_game_ot_home",0.0184357200568779,17,"univariate_glm_pvalue"
"last_game_ot_away",0.125650918194758,18,"univariate_glm_pvalue"
"h2_total",0.223367271901657,19,"univariate_glm_pvalue"
"id_total",0.223367271901657,20,"univariate_glm_pvalue"
