"min_edge","rule","total_profit","n_bets"
0,"P(side) > implied + 0.00",-4998.75,9987
0.01,"P(side) > implied + 0.01",-3407.18,7640
0.02,"P(side) > implied + 0.02",-2638.51,5659
0.03,"P(side) > implied + 0.03",-1014.96,4116
0.04,"P(side) > implied + 0.04",-675.25,2966
0.05,"P(side) > implied + 0.05",-477.49,2072
0.06,"P(side) > implied + 0.06",-210.75,1459
0.07,"P(side) > implied + 0.07",152.49,1011
0.08,"P(side) > implied + 0.08",-12.64,742
0.09,"P(side) > implied + 0.09",114.42,532
0.1,"P(side) > implied + 0.10",166.43,386
0.11,"P(side) > implied + 0.11",102.17,290
0.12,"P(side) > implied + 0.12",32.89,218
0.13,"P(side) > implied + 0.13",-21.92,152
0.14,"P(side) > implied + 0.14",-19.23,108
0.15,"P(side) > implied + 0.15",-53.19,71
