"lambda","feature","coefficient"
"lambda.1se","(Intercept)",0.191406198156557
"lambda.1se","moneyline_away",0.00148825604847528
"lambda.1se","season",0
"lambda.1se","spread",0
"lambda.1se","total",0
"lambda.1se","moneyline_home",0
"lambda.1se","h2_total",0
"lambda.1se","id_total",0
"lambda.1se","days_rest_away",0
"lambda.1se","days_rest_home",0
"lambda.1se","last_game_ot_away",0
"lambda.1se","last_game_ot_home",0
"lambda.1se","west_conference_away",0
"lambda.1se","west_conference_home",0
"lambda.1se","points_for_away",0
"lambda.1se","points_for_home",0
"lambda.1se","points_against_away",0
"lambda.1se","points_against_home",0
"lambda.1se","points_for_last10_away",0
"lambda.1se","points_for_last10_home",0
"lambda.1se","points_against_last10_away",0
"lambda.1se","points_against_last10_home",0
"lambda.1se","date_num",0
"lambda.min","(Intercept)",2.18591597498192
"lambda.min","last_game_ot_home",-0.151846437096538
"lambda.min","west_conference_home",0.0911638444265332
"lambda.min","last_game_ot_away",0.0817463371091147
"lambda.min","west_conference_away",-0.0321214148965468
"lambda.min","h2_total",0.0303529805363344
"lambda.min","spread",0.0189012199231471
"lambda.min","points_against_home",-0.0108722364270834
"lambda.min","days_rest_away",-0.00860174650237561
"lambda.min","points_for_home",0.0085324981399408
"lambda.min","points_against_last10_away",0.00848094877366742
"lambda.min","days_rest_home",-0.00817986669750401
"lambda.min","points_against_last10_home",-0.00688662697041024
"lambda.min","points_for_last10_home",0.00679444200391884
"lambda.min","points_against_away",0.00254882398932754
"lambda.min","moneyline_away",0.0024527489714618
"lambda.min","id_total",0.0024003394231958
"lambda.min","total",-0.00219130701387641
"lambda.min","season",-0.00125717693423045
"lambda.min","points_for_away",-0.000892308409862579
"lambda.min","moneyline_home",-7.50919265775013e-06
"lambda.min","points_for_last10_away",0
"lambda.min","date_num",0
"lambda.path.min","(Intercept)",4.26135502104278
"lambda.path.min","last_game_ot_home",-0.157625272075506
"lambda.path.min","west_conference_home",0.0944488985710247
"lambda.path.min","last_game_ot_away",0.0853775928270306
"lambda.path.min","west_conference_away",-0.0347608296819589
"lambda.path.min","h2_total",0.0321783887772128
"lambda.path.min","spread",0.0188552696455595
"lambda.path.min","points_against_home",-0.0112356374114647
"lambda.path.min","days_rest_away",-0.010064944878387
"lambda.path.min","points_for_home",0.00950417388607787
"lambda.path.min","points_against_last10_away",0.00900953674230295
"lambda.path.min","days_rest_home",-0.00867200862225049
"lambda.path.min","points_for_last10_home",0.00745408894727197
"lambda.path.min","points_against_last10_home",-0.00703964285751445
"lambda.path.min","points_against_away",0.00366125191697765
"lambda.path.min","total",-0.00295605689856259
"lambda.path.min","id_total",0.00273273266548567
"lambda.path.min","moneyline_away",0.00242598966851212
"lambda.path.min","season",-0.00232655178878367
"lambda.path.min","points_for_away",-0.00132170594069405
"lambda.path.min","moneyline_home",-1.93773671806339e-05
"lambda.path.min","points_for_last10_away",0
"lambda.path.min","date_num",0
