"feature","loading_score","method"
"id_total",0.499594299142575,"pca_loading_sq"
"h2_total",0.499594299142573,"pca_loading_sq"
"west_conference_away",0.483552337423853,"pca_loading_sq"
"west_conference_home",0.402604719651808,"pca_loading_sq"
"moneyline_home",0.325878777864871,"pca_loading_sq"
"moneyline_away",0.313019145923896,"pca_loading_sq"
"points_for_last10_away",0.207837075139634,"pca_loading_sq"
"spread",0.204592447106149,"pca_loading_sq"
"points_against_last10_away",0.199988428038598,"pca_loading_sq"
"points_for_away",0.195653673667853,"pca_loading_sq"
"points_for_last10_home",0.193772546319123,"pca_loading_sq"
"points_against_last10_home",0.190821240296408,"pca_loading_sq"
"points_against_away",0.189358588079661,"pca_loading_sq"
"points_for_home",0.187722267961665,"pca_loading_sq"
"points_against_home",0.187718351598646,"pca_loading_sq"
"date_num",0.147805380007711,"pca_loading_sq"
"season",0.147675943468147,"pca_loading_sq"
"days_rest_home",0.13501238114822,"pca_loading_sq"
"total",0.131352220001806,"pca_loading_sq"
"days_rest_away",0.126955556214627,"pca_loading_sq"
