"feature","coefficient","abs_coefficient","selected_for_model"
"last_game_ot_home",-0.15504650739912,0.15504650739912,TRUE
"west_conference_home",0.104225113954253,0.104225113954253,TRUE
"last_game_ot_away",0.0966382453256095,0.0966382453256095,TRUE
"west_conference_away",-0.0505630282627226,0.0505630282627226,TRUE
"days_rest_away",-0.0261920396451347,0.0261920396451347,TRUE
"spread",0.0197638360912194,0.0197638360912194,TRUE
"h2_total",0.0190805722701162,0.0190805722701162,TRUE
"id_total",0.0188323667749207,0.0188323667749207,TRUE
"points_against_home",-0.0178167261757366,0.0178167261757366,TRUE
"points_for_home",0.0175035571486436,0.0175035571486436,TRUE
"points_for_last10_home",0.0135622182669429,0.0135622182669429,TRUE
"points_against_last10_home",-0.0134382498221902,0.0134382498221902,TRUE
"points_against_away",0.0134097851579537,0.0134097851579537,TRUE
"points_against_last10_away",0.0126975845833899,0.0126975845833899,TRUE
"points_for_away",-0.0117475143193822,0.0117475143193822,TRUE
"points_for_last10_away",-0.00344088057989159,0.00344088057989159,TRUE
"season",-0.00311498300534323,0.00311498300534323,TRUE
"total",-0.0029925448663952,0.0029925448663952,TRUE
"moneyline_away",0.00134486973356413,0.00134486973356413,TRUE
"moneyline_home",-0.000497704362362581,0.000497704362362581,TRUE
"days_rest_home",-0.000444793802803339,0.000444793802803339,FALSE
"date_num",-7.22707343183161e-06,7.22707343183161e-06,FALSE
