"feature","coefficient","abs_coefficient","rank","method"
"last_game_ot_home",-0.15504650739912,0.15504650739912,1,"ridge_top_k_at_lambda.min"
"west_conference_home",0.104225113954253,0.104225113954253,2,"ridge_top_k_at_lambda.min"
"last_game_ot_away",0.0966382453256095,0.0966382453256095,3,"ridge_top_k_at_lambda.min"
"west_conference_away",-0.0505630282627226,0.0505630282627226,4,"ridge_top_k_at_lambda.min"
"days_rest_away",-0.0261920396451347,0.0261920396451347,5,"ridge_top_k_at_lambda.min"
"spread",0.0197638360912194,0.0197638360912194,6,"ridge_top_k_at_lambda.min"
"h2_total",0.0190805722701162,0.0190805722701162,7,"ridge_top_k_at_lambda.min"
"id_total",0.0188323667749207,0.0188323667749207,8,"ridge_top_k_at_lambda.min"
"points_against_home",-0.0178167261757366,0.0178167261757366,9,"ridge_top_k_at_lambda.min"
"points_for_home",0.0175035571486436,0.0175035571486436,10,"ridge_top_k_at_lambda.min"
"points_for_last10_home",0.0135622182669429,0.0135622182669429,11,"ridge_top_k_at_lambda.min"
"points_against_last10_home",-0.0134382498221902,0.0134382498221902,12,"ridge_top_k_at_lambda.min"
"points_against_away",0.0134097851579537,0.0134097851579537,13,"ridge_top_k_at_lambda.min"
"points_against_last10_away",0.0126975845833899,0.0126975845833899,14,"ridge_top_k_at_lambda.min"
"points_for_away",-0.0117475143193822,0.0117475143193822,15,"ridge_top_k_at_lambda.min"
"points_for_last10_away",-0.00344088057989159,0.00344088057989159,16,"ridge_top_k_at_lambda.min"
"season",-0.00311498300534323,0.00311498300534323,17,"ridge_top_k_at_lambda.min"
"total",-0.0029925448663952,0.0029925448663952,18,"ridge_top_k_at_lambda.min"
"moneyline_away",0.00134486973356413,0.00134486973356413,19,"ridge_top_k_at_lambda.min"
"moneyline_home",-0.000497704362362581,0.000497704362362581,20,"ridge_top_k_at_lambda.min"
