"min_edge","rule","total_profit","n_bets"
0,"P(side) > implied + 0.00",-5187.58,9972
0.01,"P(side) > implied + 0.01",-3072.76,7563
0.02,"P(side) > implied + 0.02",-2392.69,5560
0.03,"P(side) > implied + 0.03",-810.3,4035
0.04,"P(side) > implied + 0.04",-957.42,2869
0.05,"P(side) > implied + 0.05",-1000.9,1993
0.06,"P(side) > implied + 0.06",-242.71,1396
0.07,"P(side) > implied + 0.07",-2.13,958
0.08,"P(side) > implied + 0.08",-290.33,692
0.09,"P(side) > implied + 0.09",-32.21,496
0.1,"P(side) > implied + 0.10",127.47,369
0.11,"P(side) > implied + 0.11",108.93,266
0.12,"P(side) > implied + 0.12",84.08,189
0.13,"P(side) > implied + 0.13",-96.27,130
0.14,"P(side) > implied + 0.14",-117.07,105
0.15,"P(side) > implied + 0.15",-67.73,73
