"min_edge","rule","total_profit","n_bets"
0,"P(side) > implied + 0.00",-4576.8,11072
0.01,"P(side) > implied + 0.01",-3247.21,8356
0.02,"P(side) > implied + 0.02",-1599.16,5403
0.03,"P(side) > implied + 0.03",-823.16,2225
0.04,"P(side) > implied + 0.04",-443.99,621
0.05,"P(side) > implied + 0.05",37.4,122
0.06,"P(side) > implied + 0.06",35.03,8
0.07,"P(side) > implied + 0.07",0,0
0.08,"P(side) > implied + 0.08",0,0
0.09,"P(side) > implied + 0.09",0,0
0.1,"P(side) > implied + 0.10",0,0
0.11,"P(side) > implied + 0.11",0,0
0.12,"P(side) > implied + 0.12",0,0
0.13,"P(side) > implied + 0.13",0,0
0.14,"P(side) > implied + 0.14",0,0
0.15,"P(side) > implied + 0.15",0,0
