"predictor","total_profit","n_bets"
"away_record",0,0
"home_record",0,0
"win_loss_away",0,0
"win_loss_home",0,0
"moneyline_home",-4204.54,12137
"moneyline_away",-4576.8,11072
"season",-4847.81,13180
"points_against_last10_home",-5319.45,14187
"home",-5854.79,14163
"points_for_home",-5905.55,14026
"spread",-5947.08,14733
"last10_win_loss_home",-6069.1,14097
"west_conference_home",-6121.67,14304
"date_num",-6136.22,14311
"points_against_last10_away",-6315.86,14148
"regular",-6331.53,14307
"points_for_last10_home",-6341.66,14227
"last_game_ot_home",-6352.2,14286
"days_rest_away",-6408.2,14276
"days_rest_home",-6412.82,14319
"last_game_ot_away",-6417.29,14301
"points_against_away",-6482.25,14030
"h2_total",-6529.65,14299
"id_total",-6529.65,14299
"points_for_last10_away",-6696.68,14232
"points_against_home",-6736.06,14003
"total",-6761.88,14295
"away",-6899.65,14172
"west_conference_away",-6928.65,14310
"points_for_away",-6978.87,14073
"whos_favored",-7280.95,13542
"last10_win_loss_away",-8405.4,14126
